ReferenceID,CellID,CellType,Variable,Material Used,Location in reference,Measurement Equation,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Species,Strain,Sex,Age or Weight
905906,6087,MEC-L3 LIII Pyramidal-Looking Interneuron,x197,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x195+x196+x197+x199 = 9766,sum of mec3 interneurons,Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905908,6038,MEC-L3 MEC LIII Superficial Trilayered Interneuron,x199,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x195+x196+x197+x199 = 9766,sum of mec3 interneurons,Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905910,6XXX,LEC-L1 LI Interneurons,x207,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x207=6583,sum of lec1 interneurons,Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905912,6XXX,MEC-L1 LI Interneurons,x206,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x206=9542,sum of mec1 interneurons,Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905914,6XXX,MEC-L6 LIV-VI Interneurons,x200,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x200+x201+x202+x203+x204+x205 = 26691,"sum of EC 4,5,6 interneurons",Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905916,6XXX,MEC-L5 LIV-VI Interneurons,x201,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x200+x201+x202+x203+x204+x205 = 26691,"sum of EC 4,5,6 interneurons",Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905918,6XXX,MEC-L4 LIV-VI Interneurons,x202,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x200+x201+x202+x203+x204+x205 = 26691,"sum of EC 4,5,6 interneurons",Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905920,6XXX,LEC-L6 LIV-VI Interneurons,x203,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x200+x201+x202+x203+x204+x205 = 26691,"sum of EC 4,5,6 interneurons",Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905922,6XXX,LEC-L5 LIV-VI Interneurons,x204,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x200+x201+x202+x203+x204+x205 = 26691,"sum of EC 4,5,6 interneurons",Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905924,6XXX,LEC-L4 LIV-VI Interneurons,x205,"""Data_Sheet_1_A Cell Atlas for the Mouse Brain.CSV""",Supplementary Table,x200+x201+x202+x203+x204+x205 = 26691,"sum of EC 4,5,6 interneurons",Ero mice ins,,,,30546301,0,mice,C57BL/6J,,
905926,6008,MEC-L3 MEC LII-III Pyramidal-Multiform,x146,"""All neurons in the first electrophysiological category (n = 22) were observed to be stellate cells as originally described by Ramon y Cajal (1901-1902). Cell bodies were preferentially located in the superficial (toward the pia; n = 10) or middle (n = 9) third of layer II, with only three neurons located in the deepest third (Figs. 2A, 3, 6). The soma shape was ovoid or trapezoid, with elongation always oriented perpendicular to the pial surface (Fig. 6). Some cell bodies were circular (n = 3). The average somatic dimensions were 23.0 +/- 4.4 [micro]m (n = 22; range 16-30 [micro]m) by 12.9 +/- 2.2 (n = 22; range 10-16 [micro]m). ... None of the cells corresponding to the second electrophysiological category (n = 12) described above had a stellate morphology. Eleven of them had a pyramidal-like appearance, while the remaining neuron was classified as a horizontal tripolar cell.""","p573, left mid; p575 right top",(x146+x147)/(x150+x151) = 12/22,MEC LII-LIII Pyramidal-Multiform:LII-III Pyramidal-Tripolar in mec = 12:22,Klink & Alonso,,,,9347353,0,rats,Wistar,,
905928,6008,MEC-L2 MEC LII-III Pyramidal-Multiform,x147,"""All neurons in the first electrophysiological category (n = 22) were observed to be stellate cells as originally described by Ramon y Cajal (1901-1902). Cell bodies were preferentially located in the superficial (toward the pia; n = 10) or middle (n = 9) third of layer II, with only three neurons located in the deepest third (Figs. 2A, 3, 6). The soma shape was ovoid or trapezoid, with elongation always oriented perpendicular to the pial surface (Fig. 6). Some cell bodies were circular (n = 3). The average somatic dimensions were 23.0 +/- 4.4 [micro]m (n = 22; range 16-30 [micro]m) by 12.9 +/- 2.2 (n = 22; range 10-16 [micro]m). ... None of the cells corresponding to the second electrophysiological category (n = 12) described above had a stellate morphology. Eleven of them had a pyramidal-like appearance, while the remaining neuron was classified as a horizontal tripolar cell.""","p573, left mid; p575 right top",(x146+x147)/(x150+x151) = 12/22,MEC LII-LIII Pyramidal-Multiform:LII-III Pyramidal-Tripolar in mec = 12:22,Klink & Alonso,,,,9347353,0,rats,Wistar,,
905930,6082,MEC-L3 LII-III Pyramidal-Tripolar,x150,"""All neurons in the first electrophysiological category (n = 22) were observed to be stellate cells as originally described by Ramon y Cajal (1901-1902). Cell bodies were preferentially located in the superficial (toward the pia; n = 10) or middle (n = 9) third of layer II, with only three neurons located in the deepest third (Figs. 2A, 3, 6). The soma shape was ovoid or trapezoid, with elongation always oriented perpendicular to the pial surface (Fig. 6). Some cell bodies were circular (n = 3). The average somatic dimensions were 23.0 +/- 4.4 [micro]m (n = 22; range 16-30 [micro]m) by 12.9 +/- 2.2 (n = 22; range 10-16 [micro]m). ... None of the cells corresponding to the second electrophysiological category (n = 12) described above had a stellate morphology. Eleven of them had a pyramidal-like appearance, while the remaining neuron was classified as a horizontal tripolar cell.""","p573, left mid; p575 right top",(x146+x147)/(x150+x151) = 12/22,MEC LII-LIII Pyramidal-Multiform:LII-III Pyramidal-Tripolar in mec = 12:22,Klink & Alonso,,,,9347353,0,rats,Wistar,,
905932,6082,MEC-L2 LII-III Pyramidal-Tripolar,x151,"""All neurons in the first electrophysiological category (n = 22) were observed to be stellate cells as originally described by Ramon y Cajal (1901-1902). Cell bodies were preferentially located in the superficial (toward the pia; n = 10) or middle (n = 9) third of layer II, with only three neurons located in the deepest third (Figs. 2A, 3, 6). The soma shape was ovoid or trapezoid, with elongation always oriented perpendicular to the pial surface (Fig. 6). Some cell bodies were circular (n = 3). The average somatic dimensions were 23.0 +/- 4.4 [micro]m (n = 22; range 16-30 [micro]m) by 12.9 +/- 2.2 (n = 22; range 10-16 [micro]m). ... None of the cells corresponding to the second electrophysiological category (n = 12) described above had a stellate morphology. Eleven of them had a pyramidal-like appearance, while the remaining neuron was classified as a horizontal tripolar cell.""","p573, left mid; p575 right top",(x146+x147)/(x150+x151) = 12/22,MEC LII-LIII Pyramidal-Multiform:LII-III Pyramidal-Tripolar in mec = 12:22,Klink & Alonso,,,,9347353,0,rats,Wistar,,
905934,6003,MEC-L2 MEC LII Stellate,x149,"""The resulting cell-type-specific d* values were as follows: L2 stellate cell (n = 23), 74.2 [micro]m; L2 pyramidal cell (n = 18), 102.1 [micro]m;""","p1061, left bot",x149/x151 = 23/18,MEC-l2stellate = 23; LII-III Pyramidal-Tripolar in mec2=18,Beed,,,,21172609,0,rats,Wistar,,
905936,6082,MEC-L2 LII-III Pyramidal-Tripolar,x151,"""The resulting cell-type-specific d* values were as follows: L2 stellate cell (n = 23), 74.2 [micro]m; L2 pyramidal cell (n = 18), 102.1 [micro]m;""","p1061, left bot",x149/x151 = 23/18,MEC-l2stellate = 23; LII-III Pyramidal-Tripolar in mec2=18,Beed,,,,21172609,0,rats,Wistar,,
905938,6003,MEC-L2 MEC LII Stellate,x149,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905940,6094,MEC-L2 LI-II Multipolar-Pyramidal,x138,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905942,6005,MEC-L2 LI-II Pyramidal-Fan,x142,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905944,6008,MEC-L2 MEC LII-III Pyramidal-Multiform,x147,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905946,6019,MEC-L2 MEC LII Oblique Pyramidal,x148,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905948,6003,MEC-L2 MEC LII Stellate,x149,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905950,6082,MEC-L2 LII-III Pyramidal-Tripolar,x151,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905952,6048,MEC-L2 LII Axo-axonic,x189,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905954,6096,MEC-L2 MEC LII Basket,x191,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905956,6053,MEC-L2 LII Basket-Multipolar Interneuron,x192,"""The stellate neuron was the dominant labeled cell type of the medial entorhinal cortex, constituting 81% of the total population of labeled cells.""","p309, mid",x149 = 0.81 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),MEC-II stellate = 81% of all MEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905958,6082,MEC-L2 LII-III Pyramidal-Tripolar,x151,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905960,6094,MEC-L2 LI-II Multipolar-Pyramidal,x138,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905962,6005,MEC-L2 LI-II Pyramidal-Fan,x142,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905964,6008,MEC-L2 MEC LII-III Pyramidal-Multiform,x147,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905966,6019,MEC-L2 MEC LII Oblique Pyramidal,x148,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905968,6003,MEC-L2 MEC LII Stellate,x149,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905970,6082,MEC-L2 LII-III Pyramidal-Tripolar,x151,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905972,6048,MEC-L2 LII Axo-axonic,x189,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905974,6096,MEC-L2 MEC LII Basket,x191,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905976,6053,MEC-L2 LII Basket-Multipolar Interneuron,x192,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x151 = 0.17 * (x138+x142+x147+x148+x149+x151+x189+x191+x192),LII-III Pyramidal-Tripolar in mec2= 17% of LII MEC exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905978,6082,LEC-L2 LII-III Pyramidal-Tripolar,x153,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x153 = 0.10 * (x140+x144+x153+x190+x193),LII-III Pyramidal-Tripolar in lec2 = 10% of LEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905980,6094,LEC-L2 LI-II Multipolar-Pyramidal,x140,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x153 = 0.10 * (x140+x144+x153+x190+x193),LII-III Pyramidal-Tripolar in lec2 = 10% of LEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905982,6005,LEC-L2 LI-II Pyramidal-Fan,x144,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x153 = 0.10 * (x140+x144+x153+x190+x193),LII-III Pyramidal-Tripolar in lec2 = 10% of LEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905984,6082,LEC-L2 LII-III Pyramidal-Tripolar,x153,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x153 = 0.10 * (x140+x144+x153+x190+x193),LII-III Pyramidal-Tripolar in lec2 = 10% of LEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905986,6048,LEC-L2 LII Axo-axonic,x190,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x153 = 0.10 * (x140+x144+x153+x190+x193),LII-III Pyramidal-Tripolar in lec2 = 10% of LEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905988,6053,LEC-L2 LII Basket-Multipolar Interneuron,x193,"""Pyramidal cells usually exhibiting short, quickly bifurcating apical dendrites were distributed fairly evenly throughout layer II, accounting for 10% and 17% of all cells counted in the lateral and medial entorhinal cortices, respectively.""","p310, mid",x153 = 0.10 * (x140+x144+x153+x190+x193),LII-III Pyramidal-Tripolar in lec2 = 10% of LEC II exc,Schwartz,,,,7286122,0,rats,Fischer 344,,
905990,6005,LEC-L2 LI-II Pyramidal-Fan,x144,"""The most numerous group (n = 15) consisted of cells that had a large (329.9 +/- 29.3 [micro]m^2) polygonal body and whose most distinctive morphological feature was the presence of multiple thick primary dendrites (see Table 1) that fanned out from the soma mostly in the ascending and horizontal direction (Figs. 2A, 5A). These dendrites branched repeatedly, thus covering an area that approximated the shape of a semicircle with the base oriented parallel to layer II (Fig. 2A). Because of the fanning out of their dendrites, we refer to these cells as the ÒfanÓ cells <% 6005 %>. ... We also identified a third group of cells that included all those layer II neurons (n = 7) whose morphological characteristics did not correspond to the fan or pyramidal cell category. We refer to this group of cells as the ÒmultiformÓ cells <% 6082 %>.""","p126, right mid; p128, left top",x144:x153 = 15:7,LI-II pyramidal fan in lec2:LII-III pyramidal tripolar in lec2= 15:7,Tavhildari&Alonso,,,,16127693,0,rats,Long Evans Hooded,male,
905992,6082,LEC-L2 LII-III Pyramidal-Tripolar,x153,"""The most numerous group (n = 15) consisted of cells that had a large (329.9 +/- 29.3 [micro]m^2) polygonal body and whose most distinctive morphological feature was the presence of multiple thick primary dendrites (see Table 1) that fanned out from the soma mostly in the ascending and horizontal direction (Figs. 2A, 5A). These dendrites branched repeatedly, thus covering an area that approximated the shape of a semicircle with the base oriented parallel to layer II (Fig. 2A). Because of the fanning out of their dendrites, we refer to these cells as the ÒfanÓ cells <% 6005 %>. ... We also identified a third group of cells that included all those layer II neurons (n = 7) whose morphological characteristics did not correspond to the fan or pyramidal cell category. We refer to this group of cells as the ÒmultiformÓ cells <% 6082 %>.""","p126, right mid; p128, left top",x144:x153 = 15:7,LI-II pyramidal fan in lec2:LII-III pyramidal tripolar in lec2= 15:7,Tavhildari&Alonso,,,,16127693,0,rats,Long Evans Hooded,male,
905994,6095,LEC-L4 LIII-V Bipolar Pyramidal,x169,"""All recorded neurons from layer III were identified morphologically as pyramidal cells <% 6095 %> <% 6092 %> <% 6017 %>. The neurons had a large soma (250 +/- 21.1 [micro]m^2), on average almost identical in size to that of the layer II pyramidal cells (Table 1), from which a characteristic thick (5.88 +/- 0.36 [micro]m) apical dendrite and a profuse basal dendritic arborization emerged. As in the neuron illustrated in Figure 11, in all cases the apical dendrite was found to bifurcate prior to entering or at the border with layer II and then typically to ramify very profusely over layers II and I. The basal dendritic arborization was typically very extensive, spreading over a large area of layer III and, frequently (n = 8), also extending well into layer V (Figs. 12, 13). ... We also identified a third group of cells that included all those layer II neurons (n = 7) whose morphological characteristics did not correspond to the fan or pyramidal cell category. We refer to this group of cells as the ÒmultiformÓ cells <% 6082 %>.""","p130, right top; p128, left top",x169+x170+x162+x157/x153 = 8/7,LIII-V Bipolar Pyramidal in layers 3&4 + LIII pyramidal stellate + LIII pyramidal all in lec:LII-III pyramidal tripolar in lec2 = 8:7,Tavhildari&Alonso,,,,16127693,0,rats,Long Evans Hooded,male,
905996,6095,LEC-L3 LIII-V Bipolar Pyramidal,x170,"""All recorded neurons from layer III were identified morphologically as pyramidal cells <% 6095 %> <% 6092 %> <% 6017 %>. The neurons had a large soma (250 +/- 21.1 [micro]m^2), on average almost identical in size to that of the layer II pyramidal cells (Table 1), from which a characteristic thick (5.88 +/- 0.36 [micro]m) apical dendrite and a profuse basal dendritic arborization emerged. As in the neuron illustrated in Figure 11, in all cases the apical dendrite was found to bifurcate prior to entering or at the border with layer II and then typically to ramify very profusely over layers II and I. The basal dendritic arborization was typically very extensive, spreading over a large area of layer III and, frequently (n = 8), also extending well into layer V (Figs. 12, 13). ... We also identified a third group of cells that included all those layer II neurons (n = 7) whose morphological characteristics did not correspond to the fan or pyramidal cell category. We refer to this group of cells as the ÒmultiformÓ cells <% 6082 %>.""","p130, right top; p128, left top",x169+x170+x162+x157/x153 = 8/7,LIII-V Bipolar Pyramidal in layers 3&4 + LIII pyramidal stellate + LIII pyramidal all in lec:LII-III pyramidal tripolar in lec2 = 8:7,Tavhildari&Alonso,,,,16127693,0,rats,Long Evans Hooded,male,
905998,6092,LEC-L3 LIII Pyramidal-Stellate,x162,"""All recorded neurons from layer III were identified morphologically as pyramidal cells <% 6095 %> <% 6092 %> <% 6017 %>. The neurons had a large soma (250 +/- 21.1 [micro]m^2), on average almost identical in size to that of the layer II pyramidal cells (Table 1), from which a characteristic thick (5.88 +/- 0.36 [micro]m) apical dendrite and a profuse basal dendritic arborization emerged. As in the neuron illustrated in Figure 11, in all cases the apical dendrite was found to bifurcate prior to entering or at the border with layer II and then typically to ramify very profusely over layers II and I. The basal dendritic arborization was typically very extensive, spreading over a large area of layer III and, frequently (n = 8), also extending well into layer V (Figs. 12, 13). ... We also identified a third group of cells that included all those layer II neurons (n = 7) whose morphological characteristics did not correspond to the fan or pyramidal cell category. We refer to this group of cells as the ÒmultiformÓ cells <% 6082 %>.""","p130, right top; p128, left top",x169+x170+x162+x157/x153 = 8/7,LIII-V Bipolar Pyramidal in layers 3&4 + LIII pyramidal stellate + LIII pyramidal all in lec:LII-III pyramidal tripolar in lec2 = 8:7,Tavhildari&Alonso,,,,16127693,0,rats,Long Evans Hooded,male,
906000,6017,LEC-L3 LIII Pyramidal,x157,"""All recorded neurons from layer III were identified morphologically as pyramidal cells <% 6095 %> <% 6092 %> <% 6017 %>. The neurons had a large soma (250 +/- 21.1 [micro]m^2), on average almost identical in size to that of the layer II pyramidal cells (Table 1), from which a characteristic thick (5.88 +/- 0.36 [micro]m) apical dendrite and a profuse basal dendritic arborization emerged. As in the neuron illustrated in Figure 11, in all cases the apical dendrite was found to bifurcate prior to entering or at the border with layer II and then typically to ramify very profusely over layers II and I. The basal dendritic arborization was typically very extensive, spreading over a large area of layer III and, frequently (n = 8), also extending well into layer V (Figs. 12, 13). ... We also identified a third group of cells that included all those layer II neurons (n = 7) whose morphological characteristics did not correspond to the fan or pyramidal cell category. We refer to this group of cells as the ÒmultiformÓ cells <% 6082 %>.""","p130, right top; p128, left top",x169+x170+x162+x157/x153 = 8/7,LIII-V Bipolar Pyramidal in layers 3&4 + LIII pyramidal stellate + LIII pyramidal all in lec:LII-III pyramidal tripolar in lec2 = 8:7,Tavhildari&Alonso,,,,16127693,0,rats,Long Evans Hooded,male,
906002,6082,LEC-L2 LII-III Pyramidal-Tripolar,x153,"""All recorded neurons from layer III were identified morphologically as pyramidal cells <% 6095 %> <% 6092 %> <% 6017 %>. The neurons had a large soma (250 +/- 21.1 [micro]m^2), on average almost identical in size to that of the layer II pyramidal cells (Table 1), from which a characteristic thick (5.88 +/- 0.36 [micro]m) apical dendrite and a profuse basal dendritic arborization emerged. As in the neuron illustrated in Figure 11, in all cases the apical dendrite was found to bifurcate prior to entering or at the border with layer II and then typically to ramify very profusely over layers II and I. The basal dendritic arborization was typically very extensive, spreading over a large area of layer III and, frequently (n = 8), also extending well into layer V (Figs. 12, 13). ... We also identified a third group of cells that included all those layer II neurons (n = 7) whose morphological characteristics did not correspond to the fan or pyramidal cell category. We refer to this group of cells as the ÒmultiformÓ cells <% 6082 %>.""","p130, right top; p128, left top",x169+x170+x162+x157/x153 = 8/7,LIII-V Bipolar Pyramidal in layers 3&4 + LIII pyramidal stellate + LIII pyramidal all in lec:LII-III pyramidal tripolar in lec2 = 8:7,Tavhildari&Alonso,,,,16127693,0,rats,Long Evans Hooded,male,
906004,6005,MEC-L2 LI-II Pyramidal-Fan,x142,"""Fig. 1. Camera lucida drawing of 11serially and completely investigated neurons, showing them in their respective position within the upper layers of the entorhinal cortex.""","p217, Fig1",(x142+x144):(x194+x195) = 2:1,LI-II Pyramidal-Fan in LII = 2; LIII Multipolar Interneuron = 1,Germroth,,,,2026788,0,rats,,,
906006,6005,LEC-L2 LI-II Pyramidal-Fan,x144,"""Fig. 1. Camera lucida drawing of 11serially and completely investigated neurons, showing them in their respective position within the upper layers of the entorhinal cortex.""","p217, Fig1",(x142+x144):(x194+x195) = 2:1,LI-II Pyramidal-Fan in LII = 2; LIII Multipolar Interneuron = 1,Germroth,,,,2026788,0,rats,,,
906008,6049,LEC-L3 LEC LIII Multipolar Interneuron,x194,"""Fig. 1. Camera lucida drawing of 11serially and completely investigated neurons, showing them in their respective position within the upper layers of the entorhinal cortex.""","p217, Fig1",(x142+x144):(x194+x195) = 2:1,LI-II Pyramidal-Fan in LII = 2; LIII Multipolar Interneuron = 1,Germroth,,,,2026788,0,rats,,,
906010,6047,MEC-L3 MEC LIII Multipolar Interneuron,x195,"""Fig. 1. Camera lucida drawing of 11serially and completely investigated neurons, showing them in their respective position within the upper layers of the entorhinal cortex.""","p217, Fig1",(x142+x144):(x194+x195) = 2:1,LI-II Pyramidal-Fan in LII = 2; LIII Multipolar Interneuron = 1,Germroth,,,,2026788,0,rats,,,
906012,6049,LEC-L3 LEC LIII Multipolar Interneuron,x194,"""Fig. 1. Camera lucida drawing of 11serially and completely investigated neurons, showing them in their respective position within the upper layers of the entorhinal cortex.""","p217, Fig1",(x194+x195):(x192+x193) = 1:1,LIII Multipolar Interneuron = 1;  LII Basket-Multipolar Interneuron = 1,Germroth,,,,2026788,0,rats,,,
906014,6047,MEC-L3 MEC LIII Multipolar Interneuron,x195,"""Fig. 1. Camera lucida drawing of 11serially and completely investigated neurons, showing them in their respective position within the upper layers of the entorhinal cortex.""","p217, Fig1",(x194+x195):(x192+x193) = 1:1,LIII Multipolar Interneuron = 1;  LII Basket-Multipolar Interneuron = 1,Germroth,,,,2026788,0,rats,,,
906016,6053,MEC-L2 LII Basket-Multipolar Interneuron,x192,"""Fig. 1. Camera lucida drawing of 11serially and completely investigated neurons, showing them in their respective position within the upper layers of the entorhinal cortex.""","p217, Fig1",(x194+x195):(x192+x193) = 1:1,LIII Multipolar Interneuron = 1;  LII Basket-Multipolar Interneuron = 1,Germroth,,,,2026788,0,rats,,,
